Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
-12,-1,-1,2,-11,-3,0,-2,2025-03-11 15:06:36.245
-13,-4,-2,-2,-12,-1,-1,-3,2025-03-11 15:06:36.256
-13,-4,-2,-2,-12,-1,-1,-3,2025-03-11 15:06:36.268
4,3,0,-1,-11,-1,0,-1,2025-03-11 15:06:36.279
7,-2,-1,-2,-10,-2,0,0,2025-03-11 15:06:36.290
8,-2,-1,0,-10,-2,0,1,2025-03-11 15:06:36.302
8,-2,-1,0,-10,-2,0,1,2025-03-11 15:06:36.313
-2,-1,1,-2,-10,0,-1,0,2025-03-11 15:06:36.323
-2,-1,1,-2,-10,0,-1,0,2025-03-11 15:06:36.334
8,-1,-2,-3,-10,0,0,-3,2025-03-11 15:06:36.346
-17,-2,1,0,-9,-1,-1,-2,2025-03-11 15:06:36.357
-11,-3,-1,-1,-10,-1,-2,-3,2025-03-11 15:06:36.368
4,-4,-3,-1,-11,-1,0,0,2025-03-11 15:06:36.379
4,-4,-3,-1,-11,-1,0,0,2025-03-11 15:06:36.390
-12,-1,-2,-1,-10,0,-3,-3,2025-03-11 15:06:36.402
-12,-1,-2,-1,-10,0,-3,-3,2025-03-11 15:06:36.412
-11,-2,0,0,-10,-1,-1,0,2025-03-11 15:06:36.424
6,0,-3,-3,-11,-2,-1,-2,2025-03-11 15:06:36.435
6,0,-3,-3,-11,-2,-1,-2,2025-03-11 15:06:36.446
-9,-1,-1,-3,-11,0,-1,-1,2025-03-11 15:06:36.457
-9,-1,-1,-3,-11,0,-1,-1,2025-03-11 15:06:36.469
4,2,-1,-1,-10,-2,-1,0,2025-03-11 15:06:36.480
4,2,-1,-1,-10,-2,-1,0,2025-03-11 15:06:36.491
-16,-2,-2,0,-11,-1,-2,-1,2025-03-11 15:06:36.503
-16,-2,-2,0,-11,-1,-2,-1,2025-03-11 15:06:36.513
12,1,-1,-2,-12,-1,1,1,2025-03-11 15:06:36.524
12,1,-1,-2,-12,-1,1,1,2025-03-11 15:06:36.535
11,-1,1,-2,-9,-1,-3,3,2025-03-11 15:06:36.547
-14,0,-3,-1,-10,-3,-2,-6,2025-03-11 15:06:36.558
-14,0,-3,-1,-10,-3,-2,-6,2025-03-11 15:06:36.570
5,1,-3,0,-9,-1,0,-1,2025-03-11 15:06:36.581
5,1,-3,0,-9,-1,0,-1,2025-03-11 15:06:36.592
0,-1,-2,-1,-11,0,-1,-2,2025-03-11 15:06:36.603
1,0,-2,0,-10,0,-1,-2,2025-03-11 15:06:36.614
7,-2,-4,-1,-12,-2,-4,0,2025-03-11 15:06:36.625
9,-5,-1,-1,-12,-1,0,1,2025-03-11 15:06:36.637
-4,-3,-1,-1,-9,1,-1,0,2025-03-11 15:06:36.648
10,0,0,-3,-10,-1,0,4,2025-03-11 15:06:36.659
-7,-1,-2,1,-10,0,-2,-4,2025-03-11 15:06:36.670
11,2,0,-1,-10,0,-1,2,2025-03-11 15:06:36.681
11,2,0,-1,-10,0,-1,2,2025-03-11 15:06:36.692
5,-1,0,0,-10,-1,1,2,2025-03-11 15:06:36.703
5,-1,0,0,-10,-1,1,2,2025-03-11 15:06:36.715
14,-4,0,-2,-10,-2,-3,-1,2025-03-11 15:06:36.726
-1,-3,-2,0,-11,-1,1,-1,2025-03-11 15:06:36.737
-17,-1,-2,0,-11,-1,-1,-3,2025-03-11 15:06:36.748
1,-1,1,-1,-12,-2,-1,-1,2025-03-11 15:06:36.759
1,-1,1,-1,-12,-2,-1,-1,2025-03-11 15:06:36.770
-9,-7,-1,-3,-11,0,0,-2,2025-03-11 15:06:36.781
-9,-7,-1,-3,-11,0,0,-2,2025-03-11 15:06:36.792
-4,1,-2,0,-11,-1,-1,-2,2025-03-11 15:06:36.804
-4,1,-2,0,-11,-1,-1,-2,2025-03-11 15:06:36.814
4,-1,-1,0,-10,-3,0,2,2025-03-11 15:06:36.826
4,-1,-1,0,-10,-3,0,2,2025-03-11 15:06:36.837
-7,-1,0,-2,-10,0,1,-1,2025-03-11 15:06:36.848
-4,-3,-2,0,-10,0,-3,-2,2025-03-11 15:06:36.859
-4,-3,-2,0,-10,0,-3,-2,2025-03-11 15:06:36.871
-18,-6,-3,-2,-11,-2,-2,-7,2025-03-11 15:06:36.883
-18,-6,-3,-2,-11,-2,-2,-7,2025-03-11 15:06:36.893
8,0,-1,-1,-9,1,0,1,2025-03-11 15:06:36.904
6,-4,-1,0,-11,-2,-3,-1,2025-03-11 15:06:36.915
7,1,1,-4,-11,-1,-2,-3,2025-03-11 15:06:36.926
12,2,-3,-1,-10,-2,-3,-1,2025-03-11 15:06:36.937
12,2,-3,-1,-10,-2,-3,-1,2025-03-11 15:06:36.948
3,-2,-2,-1,-8,-2,0,-1,2025-03-11 15:06:36.960
3,-2,-2,-1,-8,-2,0,-1,2025-03-11 15:06:36.972
-11,-1,0,0,-11,-1,-1,1,2025-03-11 15:06:36.983
-11,-1,0,0,-11,-1,-1,1,2025-03-11 15:06:36.994
3,0,0,-2,-9,0,-2,-1,2025-03-11 15:06:37.005
3,0,0,-2,-9,0,-2,-1,2025-03-11 15:06:37.016
13,1,-1,0,-11,-2,0,0,2025-03-11 15:06:37.028
-4,-2,-2,-2,-8,1,-1,-2,2025-03-11 15:06:37.038
-8,-2,-1,-1,-9,-2,-1,-1,2025-03-11 15:06:37.049
-6,-4,-4,-3,-10,-2,2,0,2025-03-11 15:06:37.061
-6,-4,-4,-3,-10,-2,2,0,2025-03-11 15:06:37.072
-27,-2,-1,0,-11,0,-2,-7,2025-03-11 15:06:37.084
3,-3,1,0,-10,-2,-2,0,2025-03-11 15:06:37.094
-10,-1,-3,-1,-10,0,-1,1,2025-03-11 15:06:37.105
-4,-1,-2,0,-11,-1,-1,0,2025-03-11 15:06:37.116
-10,-3,0,-1,-11,-1,-2,-2,2025-03-11 15:06:37.128
9,-2,-1,0,-11,-1,-1,2,2025-03-11 15:06:37.139
19,3,-2,0,-9,-2,-1,1,2025-03-11 15:06:37.150
6,-1,0,-1,-10,0,-1,-1,2025-03-11 15:06:37.161
6,-1,0,-1,-10,0,-1,-1,2025-03-11 15:06:37.172
7,-1,-3,-1,-9,0,-2,-2,2025-03-11 15:06:37.183
7,-1,-3,-1,-9,0,-2,-2,2025-03-11 15:06:37.194
-12,-2,0,-1,-10,-1,1,2,2025-03-11 15:06:37.206
-3,-5,-1,-1,-10,-1,-3,-3,2025-03-11 15:06:37.217
9,1,-2,0,-10,-1,-2,3,2025-03-11 15:06:37.228
-1,-1,0,-1,-10,-2,-1,0,2025-03-11 15:06:37.239
-1,-1,0,-1,-10,-2,-1,0,2025-03-11 15:06:37.251
-5,-1,-2,-2,-11,-1,-2,-2,2025-03-11 15:06:37.262
-3,0,-1,-1,-9,-2,-1,-2,2025-03-11 15:06:37.273
-2,1,-1,-1,-11,-1,-2,-4,2025-03-11 15:06:37.283
-2,1,-1,-1,-11,-1,-2,-4,2025-03-11 15:06:37.295
23,-1,-1,-1,-11,-1,-2,1,2025-03-11 15:06:37.306
23,-1,-1,-1,-11,-1,-2,1,2025-03-11 15:06:37.317
-17,-4,-2,-2,-10,-3,-2,-7,2025-03-11 15:06:37.328
-9,-1,-1,-1,-9,0,2,1,2025-03-11 15:06:37.339
7,2,-1,-3,-10,-1,-1,1,2025-03-11 15:06:37.351
-14,-1,-3,0,-9,-2,1,-2,2025-03-11 15:06:37.363
-14,-1,-3,0,-9,-2,1,-2,2025-03-11 15:06:37.374
-3,-2,-1,0,-11,-1,-4,-2,2025-03-11 15:06:37.385
-3,-2,-1,0,-11,-1,-4,-2,2025-03-11 15:06:37.396
-13,-6,1,-2,-8,0,0,-1,2025-03-11 15:06:37.408
6,2,-2,0,-9,-1,0,0,2025-03-11 15:06:37.418
6,2,-2,0,-9,-1,0,0,2025-03-11 15:06:37.430
12,-1,0,1,-9,0,-1,2,2025-03-11 15:06:37.441
12,-1,0,1,-9,0,-1,2,2025-03-11 15:06:37.452
-31,-2,0,-1,-9,-2,0,-10,2025-03-11 15:06:37.463
-31,-2,0,-1,-9,-2,0,-10,2025-03-11 15:06:37.474
11,-2,-2,-2,-11,1,-4,1,2025-03-11 15:06:37.486
11,-2,-2,-2,-11,1,-4,1,2025-03-11 15:06:37.496
-25,-3,-2,-1,-11,-2,-2,-5,2025-03-11 15:06:37.508
-25,-3,-2,-1,-11,-2,-2,-5,2025-03-11 15:06:37.519
20,1,-1,-3,-12,0,-1,0,2025-03-11 15:06:37.530
-6,0,0,-1,-10,1,-2,-2,2025-03-11 15:06:37.541
28,2,-3,-2,-12,-1,-1,2,2025-03-11 15:06:37.552
-1,-2,0,-2,-10,-2,0,2,2025-03-11 15:06:37.563
-1,-2,0,-2,-10,-2,0,2,2025-03-11 15:06:37.574
-6,-2,-2,2,-10,-1,-1,-2,2025-03-11 15:06:37.586
-5,-3,-1,-2,-11,-2,-2,-2,2025-03-11 15:06:37.597
-12,-6,-2,-1,-9,0,2,0,2025-03-11 15:06:37.608
6,-1,0,-1,-12,-2,-2,-1,2025-03-11 15:06:37.619
11,-2,-1,-1,-11,0,0,2,2025-03-11 15:06:37.630
19,0,0,1,-9,-2,-1,0,2025-03-11 15:06:37.641
-13,-2,-1,1,-11,-2,-1,-1,2025-03-11 15:06:37.653
-1,-2,-2,-4,-9,-2,-1,-2,2025-03-11 15:06:37.663
-1,-2,-2,-4,-9,-2,-1,-2,2025-03-11 15:06:37.675
7,1,-1,-3,-11,-1,0,-2,2025-03-11 15:06:37.687
7,1,-1,-3,-11,-1,0,-2,2025-03-11 15:06:37.697
11,0,-2,-1,-10,-1,0,1,2025-03-11 15:06:37.708
-3,1,-3,-1,-11,0,0,1,2025-03-11 15:06:37.720
-1,3,0,1,-10,-1,-3,-3,2025-03-11 15:06:37.731
0,-1,-2,-2,-9,-1,0,-1,2025-03-11 15:06:37.742
0,-1,-2,-2,-9,-1,0,-1,2025-03-11 15:06:37.754
7,-2,-2,-3,-9,2,1,-1,2025-03-11 15:06:37.765
9,1,-1,-2,-11,-2,-1,1,2025-03-11 15:06:37.776
-16,-2,1,-1,-9,-1,-2,-1,2025-03-11 15:06:37.787
-16,-2,1,-1,-9,-1,-2,-1,2025-03-11 15:06:37.798
-30,-7,-2,0,-11,0,-1,-2,2025-03-11 15:06:37.809
-30,-7,-2,0,-11,0,-1,-2,2025-03-11 15:06:37.820
-17,1,0,-2,-12,-1,-1,-7,2025-03-11 15:06:37.831
12,-3,1,-2,-10,-2,-2,2,2025-03-11 15:06:37.843
12,-3,1,-2,-10,-2,-2,2,2025-03-11 15:06:37.854
10,0,-1,1,-10,-1,-2,-1,2025-03-11 15:06:37.865
10,0,-1,1,-10,-1,-2,-1,2025-03-11 15:06:37.876
28,0,-4,-3,-10,0,-1,3,2025-03-11 15:06:37.887
-26,-1,-2,-1,-10,-3,-1,-8,2025-03-11 15:06:37.898
0,1,-1,0,-11,-2,-1,-2,2025-03-11 15:06:37.910
-4,-3,0,-3,-9,0,0,-2,2025-03-11 15:06:37.921
-4,-3,0,-3,-9,0,0,-2,2025-03-11 15:06:37.932
-20,-2,-2,0,-10,-3,-3,-3,2025-03-11 15:06:37.943
-20,-2,-2,0,-10,-3,-3,-3,2025-03-11 15:06:37.954
10,-3,-3,-2,-11,-2,-3,-3,2025-03-11 15:06:37.966
10,-3,-3,-2,-11,-2,-3,-3,2025-03-11 15:06:37.977
-27,-1,-1,0,-7,-1,-1,-3,2025-03-11 15:06:37.988
-27,-1,-1,0,-7,-1,-1,-3,2025-03-11 15:06:38.000
3,1,-1,-2,-10,-1,1,2,2025-03-11 15:06:38.011
10,2,0,-1,-8,-1,-1,1,2025-03-11 15:06:38.022
-20,-4,-2,0,-11,1,-1,-4,2025-03-11 15:06:38.032
13,-1,-2,-3,-8,-3,0,0,2025-03-11 15:06:38.044
13,-1,-2,-3,-8,-3,0,0,2025-03-11 15:06:38.055
4,0,0,0,-11,0,-2,-1,2025-03-11 15:06:38.066
8,1,-2,-1,-8,-1,-3,1,2025-03-11 15:06:38.077
9,2,-1,-2,-10,-2,-2,0,2025-03-11 15:06:38.088
-1,-1,-2,0,-9,-1,-1,-4,2025-03-11 15:06:38.099
-15,-5,-2,-2,-10,-1,-2,-3,2025-03-11 15:06:38.111
3,1,-1,0,-9,-2,-2,-4,2025-03-11 15:06:38.122
12,-1,0,0,-9,-1,1,0,2025-03-11 15:06:38.133
7,1,-2,-1,-10,0,0,3,2025-03-11 15:06:38.144
7,1,-2,-1,-10,0,0,3,2025-03-11 15:06:38.156
-1,0,-2,-2,-10,-2,-2,0,2025-03-11 15:06:38.167
-1,0,-2,-2,-10,-2,-2,0,2025-03-11 15:06:38.178
-15,-4,-2,-1,-9,-2,-2,-4,2025-03-11 15:06:38.189
-15,-4,-2,-1,-9,-2,-2,-4,2025-03-11 15:06:38.200
-3,-1,-1,-2,-10,-2,-1,-2,2025-03-11 15:06:38.212
10,-1,-1,1,-9,-1,-1,1,2025-03-11 15:06:38.223
10,-1,-1,1,-9,-1,-1,1,2025-03-11 15:06:38.233
-3,0,0,0,-10,1,2,-2,2025-03-11 15:06:38.245
5,-2,-1,0,-10,1,0,-1,2025-03-11 15:06:38.255
-3,-2,-2,-1,-9,-1,-1,0,2025-03-11 15:06:38.267
-3,-2,-2,-1,-9,-1,-1,0,2025-03-11 15:06:38.278
5,-1,0,-1,-8,-3,-2,-1,2025-03-11 15:06:38.289
5,-1,0,-1,-8,-3,-2,-1,2025-03-11 15:06:38.301
2,0,0,-2,-9,-2,1,1,2025-03-11 15:06:38.312
2,-1,0,-1,-8,-2,-3,4,2025-03-11 15:06:38.323
8,0,0,-1,-10,-1,0,-1,2025-03-11 15:06:38.334
3,3,0,0,-10,-1,-1,-1,2025-03-11 15:06:38.345
1,0,-1,-2,-10,-1,-2,-3,2025-03-11 15:06:38.357
-31,-4,-2,-1,-10,-1,-2,-3,2025-03-11 15:06:38.368
-31,-4,-2,-1,-10,-1,-2,-3,2025-03-11 15:06:38.379
-31,-4,-2,-1,-10,-1,-2,-3,2025-03-11 15:06:38.390
-5,-4,-3,-2,-10,-3,0,1,2025-03-11 15:06:38.401
5,-1,0,-1,-9,-1,0,-1,2025-03-11 15:06:38.413
-11,-4,-2,0,-11,-2,0,-4,2025-03-11 15:06:38.423
-11,-4,-2,0,-11,-2,0,-4,2025-03-11 15:06:38.434
-6,-4,-2,-2,-10,1,-3,-2,2025-03-11 15:06:38.445
-6,-4,-2,-2,-10,1,-3,-2,2025-03-11 15:06:38.457
10,2,-1,-1,-9,-1,-1,2,2025-03-11 15:06:38.468
10,2,-1,-1,-9,-1,-1,2,2025-03-11 15:06:38.479
-6,-3,-1,-1,-12,0,1,-2,2025-03-11 15:06:38.490
-6,-3,-1,-1,-12,0,1,-2,2025-03-11 15:06:38.501
13,-1,-3,0,-11,0,-2,0,2025-03-11 15:06:38.512
-12,1,-1,-2,-9,-1,-2,-4,2025-03-11 15:06:38.524
-12,1,-1,-2,-9,-1,-2,-4,2025-03-11 15:06:38.536
5,-2,-3,-1,-10,-2,0,1,2025-03-11 15:06:38.546
5,-2,-3,-1,-10,-2,0,1,2025-03-11 15:06:38.558
1,-7,0,-2,-8,-2,-1,1,2025-03-11 15:06:38.569
17,1,-1,-1,-10,-3,0,3,2025-03-11 15:06:38.580
17,1,-1,-1,-10,-3,0,3,2025-03-11 15:06:38.591
-4,-1,-2,-1,-9,1,0,-4,2025-03-11 15:06:38.603
-4,-1,-2,-1,-9,1,0,-4,2025-03-11 15:06:38.613
-9,0,0,-1,-11,-2,-4,-2,2025-03-11 15:06:38.624
-9,0,0,-1,-11,-2,-4,-2,2025-03-11 15:06:38.635
-5,-1,-1,0,-10,1,3,0,2025-03-11 15:06:38.646
-5,-1,-1,0,-10,1,3,0,2025-03-11 15:06:38.658
-8,-3,-1,-1,-10,-4,-3,-3,2025-03-11 15:06:38.669
-8,-3,-1,-1,-10,-4,-3,-3,2025-03-11 15:06:38.680
-7,-1,-3,-1,-10,-1,-1,-2,2025-03-11 15:06:38.691
-18,-1,-2,-1,-9,0,1,-4,2025-03-11 15:06:38.703
-11,-1,-2,-2,-11,-2,-1,-2,2025-03-11 15:06:38.714
1,1,-1,-1,-11,-1,-3,-1,2025-03-11 15:06:38.725
1,1,-1,-1,-11,-1,-3,-1,2025-03-11 15:06:38.736
-10,-1,-1,0,-8,-1,1,-5,2025-03-11 15:06:38.747
3,1,-1,-1,-8,-1,-2,-2,2025-03-11 15:06:38.758
3,1,-1,-1,-8,-1,-2,-2,2025-03-11 15:06:38.770
14,0,0,1,-8,-2,1,1,2025-03-11 15:06:38.781
14,0,0,1,-8,-2,1,1,2025-03-11 15:06:38.793
9,1,-1,1,-10,-1,-2,1,2025-03-11 15:06:38.803
5,0,0,-3,-10,-1,-2,-2,2025-03-11 15:06:38.814
10,-2,-2,-1,-10,-1,-2,1,2025-03-11 15:06:38.825
10,-2,-2,-1,-10,-1,-2,1,2025-03-11 15:06:38.837
3,-2,-2,-3,-10,-1,-1,0,2025-03-11 15:06:38.847
3,-2,-2,-3,-10,-1,-1,0,2025-03-11 15:06:38.859
-7,-3,-1,-1,-9,-1,2,1,2025-03-11 15:06:38.870
6,-2,-2,-1,-9,-1,-1,-2,2025-03-11 15:06:38.881
6,-2,-2,-1,-9,-1,-1,-2,2025-03-11 15:06:38.893
16,0,0,0,-10,-1,-2,2,2025-03-11 15:06:38.904
16,0,0,0,-10,-1,-2,2,2025-03-11 15:06:38.915
6,-1,-1,-1,-9,-1,0,-2,2025-03-11 15:06:38.926
6,-1,-1,-1,-9,-1,0,-2,2025-03-11 15:06:38.938
-7,1,-1,-2,-11,1,-2,-2,2025-03-11 15:06:38.949
-7,1,-1,-2,-11,1,-2,-2,2025-03-11 15:06:38.960
-16,-1,-1,0,-9,-2,0,-5,2025-03-11 15:06:38.971
-16,-1,-1,0,-9,-2,0,-5,2025-03-11 15:06:38.982
-1,-2,0,-3,-11,-2,-2,0,2025-03-11 15:06:38.993
-10,-3,-3,-1,-10,0,1,-3,2025-03-11 15:06:39.004
-5,-1,-1,-1,-9,0,2,1,2025-03-11 15:06:39.016
-15,-1,-2,-1,-8,-1,-2,-3,2025-03-11 15:06:39.027
-15,-1,-2,-1,-8,-1,-2,-3,2025-03-11 15:06:39.038
-2,0,-2,-1,-11,-1,-1,-2,2025-03-11 15:06:39.049
6,1,-1,-1,-11,-1,1,-1,2025-03-11 15:06:39.060
13,2,0,0,-9,-3,-1,3,2025-03-11 15:06:39.071
-8,-2,-3,-2,-12,-1,0,-1,2025-03-11 15:06:39.082
-8,-2,-3,-2,-12,-1,0,-1,2025-03-11 15:06:39.094
4,2,-2,0,-10,-2,-2,-2,2025-03-11 15:06:39.105
4,2,-2,0,-10,-2,-2,-2,2025-03-11 15:06:39.116
-10,-1,-1,0,-12,-1,-1,-3,2025-03-11 15:06:39.127
-10,-1,-1,0,-12,-1,-1,-3,2025-03-11 15:06:39.139
10,-2,1,-1,-9,-1,-2,-1,2025-03-11 15:06:39.150
10,-2,1,-1,-9,-1,-2,-1,2025-03-11 15:06:39.161
-7,-1,-2,-1,-10,-1,-1,0,2025-03-11 15:06:39.172
-13,-1,-1,-2,-9,0,-2,-4,2025-03-11 15:06:39.183
2,-3,0,-1,-11,-1,1,-1,2025-03-11 15:06:39.194
-5,-1,-1,-4,-11,-1,-3,-1,2025-03-11 15:06:39.206
-5,-1,-1,-4,-11,-1,-3,-1,2025-03-11 15:06:39.217
4,-1,-3,-1,-11,-1,-2,0,2025-03-11 15:06:39.228
-23,-4,-2,-2,-11,-2,0,-2,2025-03-11 15:06:39.239
-3,0,1,0,-10,-2,0,-3,2025-03-11 15:06:39.250
1,-4,-2,-3,-12,0,0,2,2025-03-11 15:06:39.262
1,-4,-2,-3,-12,0,0,2,2025-03-11 15:06:39.272
2,0,-1,-2,-10,-2,-2,-1,2025-03-11 15:06:39.284
2,0,-1,-2,-10,-2,-2,-1,2025-03-11 15:06:39.294
9,0,-1,-2,-9,-1,0,-1,2025-03-11 15:06:39.305
2,-3,-1,0,-11,-1,-1,1,2025-03-11 15:06:39.317
8,1,-1,-1,-10,-1,1,-2,2025-03-11 15:06:39.328
8,1,-1,-1,-10,-1,1,-2,2025-03-11 15:06:39.339
-4,-2,-3,-1,-10,-2,-2,-3,2025-03-11 15:06:39.350
-4,-2,-3,-1,-10,-2,-2,-3,2025-03-11 15:06:39.361
-5,2,-1,-1,-11,-1,-2,-2,2025-03-11 15:06:39.373
-24,-6,-2,0,-10,0,0,-1,2025-03-11 15:06:39.384
-24,-6,-2,0,-10,0,0,-1,2025-03-11 15:06:39.395
5,2,1,-1,-9,-1,-1,-3,2025-03-11 15:06:39.407
5,2,1,-1,-9,-1,-1,-3,2025-03-11 15:06:39.417
21,0,-1,1,-12,-2,-1,2,2025-03-11 15:06:39.428
21,0,-1,1,-12,-2,-1,2,2025-03-11 15:06:39.439
-23,-3,-1,-1,-10,0,1,-7,2025-03-11 15:06:39.450
-23,-3,-1,-1,-10,0,1,-7,2025-03-11 15:06:39.462
6,-1,0,0,-11,0,1,0,2025-03-11 15:06:39.474
6,-1,0,0,-11,0,1,0,2025-03-11 15:06:39.484
3,-3,0,-2,-11,0,-1,-1,2025-03-11 15:06:39.495
3,-3,0,-2,-11,0,-1,-1,2025-03-11 15:06:39.506
-6,-5,-1,-1,-13,-3,-1,-1,2025-03-11 15:06:39.518
-1,-1,2,-3,-11,-1,-2,-3,2025-03-11 15:06:39.529
-1,-1,2,-3,-11,-1,-2,-3,2025-03-11 15:06:39.540
12,1,-1,0,-9,0,-1,2,2025-03-11 15:06:39.552
5,-1,-2,-1,-11,0,-2,0,2025-03-11 15:06:39.563
5,-1,-2,-1,-11,0,-2,0,2025-03-11 15:06:39.575
-2,3,-1,0,-10,0,-1,-2,2025-03-11 15:06:39.585
-2,3,-1,0,-10,0,-1,-2,2025-03-11 15:06:39.597
-13,0,-1,-2,-9,-2,-2,-1,2025-03-11 15:06:39.607
-13,0,-1,-2,-9,-2,-2,-1,2025-03-11 15:06:39.618
-2,0,-3,0,-10,-1,0,-2,2025-03-11 15:06:39.629
-2,0,-3,0,-10,-1,0,-2,2025-03-11 15:06:39.641
-1,-1,-2,-1,-9,0,-3,0,2025-03-11 15:06:39.652
-1,-1,-2,-1,-9,0,-3,0,2025-03-11 15:06:39.663
-3,-1,0,-2,-11,-3,-2,-1,2025-03-11 15:06:39.674
-4,-1,-3,-1,-9,-1,0,0,2025-03-11 15:06:39.685
-4,-1,-3,-1,-9,-1,0,0,2025-03-11 15:06:39.696
-30,-8,-4,-2,-10,-1,-2,-7,2025-03-11 15:06:39.708
-30,-8,-4,-2,-10,-1,-2,-7,2025-03-11 15:06:39.719
16,0,-2,-1,-10,-2,0,2,2025-03-11 15:06:39.730
-7,-1,0,0,-11,-2,-4,-2,2025-03-11 15:06:39.741
-7,-1,0,0,-11,-2,-4,-2,2025-03-11 15:06:39.753
